fire_type,count,mean_frp,std_frp,median_frp,max_frp,high_intensity_ratio
other,262641,18.4216462776185,26.665062422153866,10.8,1824.4,6.106053510304941
wheat,7640,14.279528795811519,19.288035133044936,8.8,484.8,3.4685863874345553
regional_agricultural,2635,14.5804174573055,18.989727966422368,8.6,411.5,3.9468690702087286
maize,26605,17.609246382258974,30.639447804133546,8.0,927.8,7.250516820146589
