metric,agricultural,other,difference
数量,36880.0,262641.0,-225761.0
平均FRP,16.703063991323212,18.4216462776185,-1.7185822862952875
中位数FRP,8.3,10.8,-2.5
FRP标准差,27.96725697337467,26.665062422153866,1.3021945512208042
高强度火灾比例(FRP>50),6.231019522776573,6.106053510304941,0.1249660124716323
